Sample	Mineral	SiO2	P2O5	Pr2O3	SO3	Y2O3	CaO	Nd2O3	PbO	La2O3	Sm2O3	ThO2	Ce2O3	Gd2O3	UO2	SDUO2	SDPbO	SDThO2
P55-c10-1_s	mnz	0,1455	34,19	3,7	0,0233	0,526	1,3188	13,84	0,0441	11,57	2,98	4,92	26,27	2,3	0,394	1,65	7,54	0,19
P55-c10-2_s	mnz	0,2177	34,69	3,66	0,0206	0,455	0,883	11,64	0,0508	14,62	1,89	3,79	28,78	1,43	0,7335	0,96	7,01	0,22
P55-c10-3_i	mnz	0,1499	34,93	3,7	0,007	0,4969	1,1826	13,84	0,0457	11,75	2,97	4,98	26,51	2,26	0,4168	1,56	7,4	0,19
P55-c11a-1_s	mnz	0,1543	33,82	3,78	0,0161	1,0425	0,9766	11,88	0,0511	13,86	1,91	4,38	28,07	1,57	0,4115	1,58	6,79	0,2
P55-c11a-2_s	mnz	0,1634	33,85	3,65	0,0052	2,02	1,0217	11,58	0,0676	13,48	1,97	4,34	27,17	1,73	0,6149	1,12	5,33	0,2
P55-c11a-3_i/c	mnz	0,2621	33,64	3,72	0,0156	0,5844	0,9162	11,87	0,051	14,12	1,95	4,23	28,46	1,55	0,6307	1,09	6,82	0,21
P55-c11b-1_s	mnz	0,1624	34,65	3,5	0,0124	2,34	0,9811	11,54	0,0616	13,29	1,97	4,49	26,87	1,77	0,3775	1,7	5,81	0,2
P55-c11b-2_s	mnz	0,2946	33,48	3,67	0,0062	0,7816	0,9859	11,91	0,0684	13,67	2,1	4,21	27,64	1,71	0,8652	0,83	5,32	0,21
P55-c3-1_i	mnz	0,347	34,11	3,6	0,0119	1,2539	1,1052	12,49	0,0547	12,55	2,43	4,5	26,63	2,22	0,4833	1,37	6,39	0,2
P66-c8-1_i	mnz	0,3929	33,45	3,92	0,0107	0,2843	0,7445	13,26	0,0377	13,21	2,13	4,6	28,76	1,42	0,0851	5,95	8,71	0,2
P66-c8-2_s	mnz	0,1525	34	4,06	0,0038	1,1418	0,2367	13,04	0,0097	14,58	2,06	0,7047	30,03	1,45	0,3847	1,76	35,89	0,73
P66-c8-3_s	mnz	0,0991	34,25	4,01	0,0083	2,29	0,2072	12,51	0,0054	14,59	1,97	0,4813	29,41	1,45	0,4191	1,63	62,86	1,01
P66-c8-4_i	mnz	0,309	33,26	4,02	0,0043	0,2562	0,6419	13,18	0,0282	13,74	2,1	3,79	29,19	1,31	0,118	4,73	11,32	0,22
P66-c8-5_c	mnz	0,4322	33,04	3,94	0,0147	0,1807	0,8091	13,39	0,0485	12,96	2,04	5,2	28,73	1,29	0,0792	6,11	6,94	0,18
P66-c4-1_s	mnz	0,4318	33,24	3,92	0,0061	0,1088	0,7685	13,41	0,0396	13,2	1,91	4,86	29,13	1,0219	0,0661	7,05	8,1	0,19
