Sample	Mineral	SiO2	Al2O3	Fe2O3	FeO	MgO	CaO	Na2O	K2O	TiO2	P2O5	MnO	Cr2O3	ZnO	SrO
DHZ62p151n16	AM	48.51	6.6	4.09	9.48	14.79	5.6	6.01	2.2	1.32	0	0.19	0	0	0
DHZ62p151n17	AM	57.1	6.19	8.01	2.69	9.13	0.31	9.77	2.38	0.35	0	0.34	0	0.59	0
DHZ62p151n18	AM	48.41	1.81	11.25	23.81	0.06	1.18	7.37	1.52	1.32	0	0.75	0	0	0
DHZ62p198n1	BI	45.24	36.85	0.09	0.02	0.08	0	0.64	10.08	0.01	0	0.12	0	0	0
DHZ62p198n4	BI	40.95	17.28	0.43	2.38	22.95	0	0.16	9.8	0.82	0	0	0	0	0
DHZ62p198n5	BI	39.14	13.1	12.94	5.05	12.75	1.64	0.7	6.55	4.27	0	0.14	0	0	0
DHZ62p234n1	CH	23.2	24.42	3.48	13.4	22.76	1.04	0	0	0	0	0	0	0	0
DHZ62p234n2	CH	27.64	22.48	0.06	12.06	24.32	0	0.17	0.06	0.22	0	0.02	0	0	0
DHZ62p234n3	CH	25.62	21.19	3.88	21.55	15.28	0.16	0	0	0.88	0	0.35	0	0	0
DHZ62p234n4	CH	31.44	17.62	0	0.01	37.64	0.01	0	0	0	0	0.01	0	0	0
DHZ62p234n5	CH	28.32	19.03	1.19	14.85	23.72	0.62	0.01	0	0.09	0	0.09	0	0	0
DHZ62p234n6	CH	27.11	17.42	2.91	30.98	9.75	0.21	0	0	0.35	0	0	0	0	0
DHZ62p234n7	CH	20.82	17.64	8.7	37.96	4.15	0	0	0	0	0	0	0	0	0
DHZ62p234n8	CH	26.4	18.23	5.7	25.87	11.35	0.42	0.17	0.17	0	0	0.04	0	0	0
DHZ62p246n1	CH	41.83	0.3	1.29	0.08	41.39	0.01	0	0	0.02	0	0.04	0	0	0
DHZ62p246n2	CH	41.25	0.54	1.32	0.09	41.84	0.02	0	0	0.02	0	0.07	0	0	0
